"","UniProt_ID","Cellular_component","GO_ID"
"1","O00175","extracellular space","GO:0005615"
"2","O00182","collagen-containing extracellular matrix","GO:0062023"
"3","O00182","cytoplasm","GO:0005737"
"4","O00182","cytosol","GO:0005829"
"5","O00182","extracellular space","GO:0005615"
"6","O00182","nucleus","GO:0005634"
"7","O00300","extracellular matrix","GO:0031012"
"8","O00300","extracellular region","GO:0005576"
"9","O00300","extracellular space","GO:0005615"
"10","O00300","plasma membrane","GO:0005886"
"11","O00308","cytoplasm","GO:0005737"
"12","O00308","cytosol","GO:0005829"
"13","O00308","extracellular exosome","GO:0070062"
"14","O00308","membrane","GO:0016020"
"15","O00308","nucleus","GO:0005634"
"16","O00308","ubiquitin ligase complex","GO:0000151"
"17","O00533","apical part of cell","GO:0045177"
"18","O00533","dendrite","GO:0030425"
"19","O00533","extracellular exosome","GO:0070062"
"20","O00533","integral component of membrane","GO:0016021"
"21","O00533","plasma membrane","GO:0005886"
"22","O14625","cell","GO:0005623"
"23","O14625","extracellular region","GO:0005576"
"24","O14625","extracellular space","GO:0005615"
"25","O14786","axon","GO:0030424"
"26","O14786","cell surface","GO:0009986"
"27","O14786","cytoplasmic vesicle","GO:0031410"
"28","O14786","cytosol","GO:0005829"
"29","O14786","early endosome","GO:0005769"
"30","O14786","extracellular space","GO:0005615"
"31","O14786","focal adhesion","GO:0005925"
"32","O14786","glutamatergic synapse","GO:0098978"
"33","O14786","growth cone","GO:0030426"
"34","O14786","integral component of postsynaptic membrane","GO:0099055"
"35","O14786","neurofilament","GO:0005883"
"36","O14786","neuronal cell body","GO:0043025"
"37","O14786","neuron projection","GO:0043005"
"38","O14786","plasma membrane","GO:0005886"
"39","O14786","receptor complex","GO:0043235"
"40","O14786","semaphorin receptor complex","GO:0002116"
"41","O14786","sorting endosome","GO:0097443"
"42","O14788","cytoplasm","GO:0005737"
"43","O14788","extracellular region","GO:0005576"
"44","O14788","extracellular space","GO:0005615"
"45","O14788","integral component of plasma membrane","GO:0005887"
"46","O14788","plasma membrane","GO:0005886"
"47","O14798","anchored component of membrane","GO:0031225"
"48","O14798","cell surface","GO:0009986"
"49","O14798","plasma membrane","GO:0005886"
"50","O14944","clathrin-coated vesicle membrane","GO:0030665"
"51","O14944","extracellular region","GO:0005576"
"52","O14944","extracellular space","GO:0005615"
"53","O14944","integral component of plasma membrane","GO:0005887"
"54","O15031","cell surface","GO:0009986"
"55","O15031","extracellular exosome","GO:0070062"
"56","O15031","integral component of plasma membrane","GO:0005887"
"57","O15031","semaphorin receptor complex","GO:0002116"
"58","O15123","cell projection","GO:0042995"
"59","O15123","extracellular region","GO:0005576"
"60","O15123","extracellular space","GO:0005615"
"61","O15123","nucleus","GO:0005634"
"62","O15123","plasma membrane","GO:0005886"
"63","O15169","beta-catenin destruction complex","GO:0030877"
"64","O15169","cell periphery","GO:0071944"
"65","O15169","cytoplasm","GO:0005737"
"66","O15169","cytoplasmic vesicle","GO:0031410"
"67","O15169","cytosol","GO:0005829"
"68","O15169","lateral plasma membrane","GO:0016328"
"69","O15169","nucleus","GO:0005634"
"70","O15169","perinuclear region of cytoplasm","GO:0048471"
"71","O15263","extracellular region","GO:0005576"
"72","O15263","extracellular space","GO:0005615"
"73","O15263","Golgi lumen","GO:0005796"
"74","O15444","extracellular region","GO:0005576"
"75","O15444","extracellular space","GO:0005615"
"76","O15467","extracellular region","GO:0005576"
"77","O15467","extracellular space","GO:0005615"
"78","O15496","extracellular region","GO:0005576"
"79","O15496","extracellular space","GO:0005615"
"80","O43508","extracellular region","GO:0005576"
"81","O43508","extracellular space","GO:0005615"
"82","O43508","integral component of plasma membrane","GO:0005887"
"83","O43508","perinuclear region of cytoplasm","GO:0048471"
"84","O43508","plasma membrane","GO:0005886"
"85","O43557","cytoplasm","GO:0005737"
"86","O43557","extracellular space","GO:0005615"
"87","O43557","integral component of membrane","GO:0016021"
"88","O43557","plasma membrane","GO:0005886"
"89","O43927","cell","GO:0005623"
"90","O43927","extracellular region","GO:0005576"
"91","O43927","extracellular space","GO:0005615"
"92","O75015","anchored component of membrane","GO:0031225"
"93","O75015","extracellular exosome","GO:0070062"
"94","O75015","extracellular region","GO:0005576"
"95","O75015","plasma membrane","GO:0005886"
"96","O75015","secretory granule membrane","GO:0030667"
"97","O75023","integral component of membrane","GO:0016021"
"98","O75144","cytoplasmic ribonucleoprotein granule","GO:0036464"
"99","O75144","external side of plasma membrane","GO:0009897"
"100","O75144","extracellular exosome","GO:0070062"
"101","O75144","integral component of membrane","GO:0016021"
"102","O75144","plasma membrane","GO:0005886"
"103","O75509","axon","GO:0030424"
"104","O75509","cytoplasm","GO:0005737"
"105","O75509","integral component of plasma membrane","GO:0005887"
"106","O75509","intrinsic component of plasma membrane","GO:0031226"
"107","O75509","plasma membrane","GO:0005886"
"108","O75594","extracellular exosome","GO:0070062"
"109","O75594","extracellular region","GO:0005576"
"110","O75594","extracellular space","GO:0005615"
"111","O75594","phagocytic vesicle lumen","GO:0097013"
"112","O75594","specific granule lumen","GO:0035580"
"113","O75594","tertiary granule lumen","GO:1904724"
"114","O76036","integral component of plasma membrane","GO:0005887"
"115","O76036","plasma membrane","GO:0005886"
"116","O76036","SWI/SNF complex","GO:0016514"
"117","O76070","axon","GO:0030424"
"118","O76070","centrosome","GO:0005813"
"119","O76070","cytoplasm","GO:0005737"
"120","O76070","extracellular exosome","GO:0070062"
"121","O76070","neuronal cell body","GO:0043025"
"122","O76070","nuclear body","GO:0016604"
"123","O76070","perinuclear region of cytoplasm","GO:0048471"
"124","O76070","spindle","GO:0005819"
"125","O76070","synapse","GO:0045202"
"126","O94985","cell junction","GO:0030054"
"127","O94985","cell surface","GO:0009986"
"128","O94985","endoplasmic reticulum membrane","GO:0005789"
"129","O94985","extracellular region","GO:0005576"
"130","O94985","GABA-ergic synapse","GO:0098982"
"131","O94985","glutamatergic synapse","GO:0098978"
"132","O94985","Golgi membrane","GO:0000139"
"133","O94985","integral component of postsynaptic density membrane","GO:0099061"
"134","O94985","integral component of spine apparatus membrane","GO:0099065"
"135","O94985","nucleus","GO:0005634"
"136","O94985","postsynaptic endosome","GO:0098845"
"137","O94985","postsynaptic membrane","GO:0045211"
"138","O95445","discoidal high-density lipoprotein particle","GO:0034365"
"139","O95445","extracellular region","GO:0005576"
"140","O95445","high-density lipoprotein particle","GO:0034364"
"141","O95445","low-density lipoprotein particle","GO:0034362"
"142","O95445","spherical high-density lipoprotein particle","GO:0034366"
"143","O95445","very-low-density lipoprotein particle","GO:0034361"
"144","O95630","cleavage furrow","GO:0032154"
"145","O95630","cytosol","GO:0005829"
"146","O95630","early endosome","GO:0005769"
"147","O95630","endosome","GO:0005768"
"148","O95630","extracellular exosome","GO:0070062"
"149","O95630","membrane","GO:0016020"
"150","O95630","nucleoplasm","GO:0005654"
"151","O95630","nucleus","GO:0005634"
