Protein,Uniprot_ID
CCL24,O00175
Gal-9,O00182
OPG,O00300
WWP2,O00308
CHL1,O00533
CXCL11,O14625
NRP1,O14786
TRANCE,O14788
TNFRSF10C,O14798
EREG,O14944
PLXNB2,O15031
ANGPT2,O15123
AXIN1,O15169
DEFB4A,O15263
CCL25,O15444
CCL16,O15467
PLA2G10,O15496
TWEAK,O43508
TNFSF14,O43557
CXCL13,O43927
FCGR3B,O75015
LILRB5,O75023
ICOSLG,O75144
TNFRSF21,O75509
PGLYRP1,O75594
NCR1,O76036
SNCG,O76070
CLSTN1,O94985
APOM,O95445
STAMBP,O95630
CRTAM,O95727
FGF-19,O95750
IL33,O95760
IL-18BP,O95998
SOD1,P00441
EGFR,P00533
uPA,P00749
t-PA,P00750
ADA,P00813
CA1,P00915
TIMP1,P01033
CST3,P01034
PDGF subunit B,P01127
LDL receptor,P01130
EGF,P01133
TGF-alpha,P01135
LAP TGF-beta-1,P01137
Beta-NGF,P01138
TNFB,P01374
TNF,P01375
IFN-beta,P01574
IFN-gamma,P01579
IL-1 alpha,P01583
IL2-RA,P01589
CD4,P01730
CD8A,P01732
MB,P02144
COL1A1,P02452
CXCL10,P02778
TR,P02786
ANG,P03950
F11,P03951
MMP-1,P03956
PROC,P04070
CSTB,P04080
PDGF subunit A,P04085
vWF,P04275
ARG1,P05089
ITGB2,P05107
IL4,P05112
IL5,P05113
PAI,P05121
SERPINA5,P05154
MPO,P05164
IL6,P05231
ICAM1,P05362
REG1A,P05451
SERPINA7,P05543
CD5,P06127
C2,P06681
NPM1,P06748
NEFL,P07196
ASGR1,P07306
CTSD,P07339
GP1BA,P07359
CA3,P07451
PRSS2,P07478
DCN,P07585
UMOD,P07911
MMP-2,P08253
MMP-3,P08254
MET,P08581
F7,P08709
IGFBP-1,P08833
IL-6RA,P08887
CD63,P08962
FGF2,P09038
GSTP1,P09211
MMP7,P09237
MMP-10,P09238
CXCL1,P09341
Gal-1,P09382
PAEP,P09466
HO-1,P09601
CSF-1,P09603
IGLC2,P0DOY2
GZMB,P10144
IL8,P10145
CCL3,P10147
OPN,P10451
TFPI,P10646
KIT,P10721
CD28,P10747
ITGAM,P11215
MBL2,P11226
PSG1,P11464
SCGB1A1,P11684
FGF-5,P12034
FCGR2A,P12318
GZMA,P12544
CDH1,P12830
IL7,P13232
CCL4,P13236
IFI30,P13284
TDGF1,P13385
MCP-1,P13500
CCL5,P13501
NCAM1,P13591
ICAM-2,P13598
TR-AP,P13686
OSM,P13725
CD59,P13987
SELL,P14151
FOLR2,P14207
HGF,P14210
NID1,P14543
HSP90B1,P14625
IL-1RT1,P14778
MMP-9,P14780
IL-2RB,P14784
LIF,P15018
CPA1,P15085
CPB1,P15086
FABP4,P15090
AP-N,P15144
CD46,P15529
VEGFA,P15692
ST6GAL1,P15907
SELP,P16109
PECAM-1,P16284
Ep-CAM,P16422
DPEP1,P16444
SELE,P16581
IL7R,P16871
ENG,P17813
Gal-3,P17931
IGFBP3,P17936
PTPN1,P18031
IGFBP-2,P18065
PAM,P19021
VCAM1,P19320
TNF-R1,P19438
AOC1,P19801
PI3,P19957
CR2,P20023
TCN2,P20062
CD33,P20138
AZU1,P20160
TNF-R2,P20333
GZMH,P20718
NT-3,P20783
PTN,P21246
SCF,P21583
FGFR2,P21802
TNXB,P22105
IL10,P22301
CA4,P22748
GNLY,P22749
CES1,P23141
RPS6KB1,P23443
EIF4B,P23588
IL32,P24001
FCAR,P24071
PRTN3,P24158
IGFBP6,P24592
TNC,P24821
FAS,P25445
CD40,P25942
CD27,P26842
IL3RA,P26951
DPP4,P27487
IL-1RT2,P27930
CST5,P28325
GRN,P28799
IMPA1,P29218
IL-12A,P29459
IL-12B,P29460
NOS3,P29474
CD40-L,P29965
CD6,P30203
HMOX2,P30519
AXL,P30530
GBP2,P32456
DSG3,P32926
ICAM3,P32942
CD70,P32970
CDH5,P33151
IL13,P35225
PSP-D,P35247
THBS4,P35443
SAA4,P35542
TIE1,P35590
VEGFR-2,P35968
CHI3L1,P36222
GGT5,P36269
LTBR,P36941
