"","UniProt_ID","Subcellular_location"
"1","O00175","Secreted"
"2","O00182","Cytoplasm"
"3","O00182","Nucleus"
"4","O00182","Secreted"
"5","O00300","Secreted"
"6","O00308","Nucleus"
"7","O00533","Cell membrane"
"8","O00533","Extracellular matrix"
"9","O00533","Membrane"
"10","O00533","Secreted"
"11","O14625","Secreted"
"12","O14786","Cell membrane"
"13","O14786","Cytoplasm"
"14","O14786","Membrane"
"15","O14786","Mitochondrion"
"16","O14786","Secreted"
"17","O14788","Cell membrane"
"18","O14788","Cytoplasm"
"19","O14788","Membrane"
"20","O14788","Secreted"
"21","O14798","Cell membrane"
"22","O14798","Membrane"
"23","O14944","Cell membrane"
"24","O14944","Membrane"
"25","O14944","Secreted"
"26","O15031","Cell membrane"
"27","O15031","Membrane"
"28","O15123","Secreted"
"29","O15169","Cell membrane"
"30","O15169","Cytoplasm"
"31","O15169","Membrane"
"32","O15169","Nucleus"
"33","O15263","Secreted"
"34","O15444","Secreted"
"35","O15467","Secreted"
"36","O15496","Secreted"
"37","O43508","Cell membrane"
"38","O43508","Membrane"
"39","O43508","Secreted"
"40","O43557","Cell membrane"
"41","O43557","Cytoplasm"
"42","O43557","Membrane"
"43","O43557","Secreted"
"44","O43927","Secreted"
"45","O75015","Cell membrane"
"46","O75015","Membrane"
"47","O75015","Secreted"
"48","O75023","Membrane"
"49","O75144","Cell membrane"
"50","O75144","Membrane"
"51","O75509","Cell membrane"
"52","O75509","Membrane"
"53","O75594","Secreted"
"54","O76036","Cell membrane"
"55","O76036","Membrane"
"56","O76070","Cytoplasm"
"57","O76070","Cytoskeleton"
"58","O94985","Cell junction"
"59","O94985","Cell membrane"
"60","O94985","Cell projection"
"61","O94985","Endoplasmic reticulum"
"62","O94985","Golgi apparatus"
"63","O94985","Membrane"
"64","O94985","Nucleus"
"65","O94985","Postsynaptic cell membrane"
"66","O94985","Synapse"
"67","O95445","HDL"
"68","O95445","Secreted"
"69","O95630","Cytoplasm"
"70","O95630","Endosome"
"71","O95630","Membrane"
"72","O95630","Nucleus"
"73","O95727","Membrane"
"74","O95750","Secreted"
"75","O95760","Chromosome"
"76","O95760","Cytoplasmic vesicle"
"77","O95760","Nucleus"
"78","O95760","Secreted"
"79","O95998","Secreted"
"80","P00441","Cytoplasm"
"81","P00441","Mitochondrion"
"82","P00441","Nucleus"
"83","P00533","Cell membrane"
"84","P00533","Endoplasmic reticulum"
"85","P00533","Endosome"
"86","P00533","Golgi apparatus"
"87","P00533","Membrane"
"88","P00533","Nucleus"
"89","P00533","Secreted"
"90","P00749","Secreted"
"91","P00750","Secreted"
"92","P00813","Cell junction"
"93","P00813","Cell membrane"
"94","P00813","Cytoplasm"
"95","P00813","Cytoplasmic vesicle"
"96","P00813","Lysosome"
"97","P00813","Membrane"
"98","P00915","Cytoplasm"
"99","P01033","Secreted"
"100","P01034","Amyloid"
"101","P01034","Secreted"
"102","P01127","Secreted"
"103","P01130","Cell membrane"
"104","P01130","Coated pit"
"105","P01130","Endosome"
"106","P01130","Golgi apparatus"
"107","P01130","LDL"
"108","P01130","Lysosome"
"109","P01130","Membrane"
"110","P01133","Membrane"
"111","P01135","Cell membrane"
"112","P01135","Membrane"
"113","P01135","Secreted"
"114","P01137","Extracellular matrix"
"115","P01137","Secreted"
"116","P01138","Endosome"
"117","P01138","Secreted"
"118","P01374","Membrane"
"119","P01374","Secreted"
"120","P01375","Cell membrane"
"121","P01375","Membrane"
"122","P01375","Secreted"
"123","P01574","Secreted"
"124","P01579","Secreted"
"125","P01583","Secreted"
"126","P01589","Membrane"
"127","P01730","Cell membrane"
"128","P01730","Membrane"
"129","P01732","Cell membrane"
"130","P01732","Membrane"
"131","P01732","Secreted"
"132","P02452","Extracellular matrix"
"133","P02452","Secreted"
"134","P02778","Secreted"
"135","P02786","Cell membrane"
"136","P02786","Membrane"
"137","P02786","Secreted"
"138","P03950","Cytoplasmic vesicle"
"139","P03950","Nucleus"
"140","P03950","Secreted"
"141","P03951","Secreted"
"142","P03956","Extracellular matrix"
"143","P03956","Secreted"
"144","P04070","Endoplasmic reticulum"
"145","P04070","Golgi apparatus"
"146","P04070","Secreted"
"147","P04080","Cytoplasm"
"148","P04080","Nucleus"
"149","P04085","Secreted"
"150","P04275","Extracellular matrix"
"151","P04275","Secreted"
"152","P05089","Cytoplasm"
"153","P05107","Cell membrane"
"154","P05107","Membrane"
"155","P05112","Secreted"
"156","P05113","Secreted"
"157","P05121","Secreted"
"158","P05154","Secreted"
"159","P05164","Lysosome"
"160","P05231","Secreted"
"161","P05362","Membrane"
"162","P05451","Secreted"
"163","P05543","Secreted"
"164","P06127","Cell membrane"
"165","P06127","Membrane"
"166","P06681","Secreted"
"167","P06748","Cytoplasm"
"168","P06748","Cytoskeleton"
"169","P06748","Nucleus"
"170","P07196","Intermediate filament"
"171","P07306","Membrane"
"172","P07306","Secreted"
"173","P07339","Lysosome"
"174","P07339","Secreted"
"175","P07359","Membrane"
"176","P07451","Cytoplasm"
"177","P07478","Secreted"
"178","P07585","Extracellular matrix"
"179","P07585","Secreted"
"180","P07911","Cell membrane"
"181","P07911","Cell projection"
"182","P07911","Cilium"
"183","P07911","Membrane"
"184","P07911","Secreted"
"185","P08253","Cytoplasm"
"186","P08253","Extracellular matrix"
"187","P08253","Membrane"
"188","P08253","Mitochondrion"
"189","P08253","Nucleus"
"190","P08253","Secreted"
"191","P08254","Extracellular matrix"
"192","P08254","Secreted"
"193","P08581","Membrane"
"194","P08581","Secreted"
"195","P08709","Secreted"
"196","P08833","Secreted"
"197","P08887","Cell membrane"
"198","P08887","Membrane"
"199","P08887","Secreted"
"200","P08962","Cell membrane"
"201","P08962","Endosome"
"202","P08962","Lysosome"
"203","P08962","Membrane"
"204","P08962","Secreted"
"205","P09038","Nucleus"
"206","P09038","Secreted"
"207","P09211","Cytoplasm"
"208","P09211","Mitochondrion"
"209","P09211","Nucleus"
"210","P09237","Extracellular matrix"
"211","P09237","Secreted"
"212","P09238","Extracellular matrix"
"213","P09238","Secreted"
"214","P09341","Secreted"
"215","P09382","Extracellular matrix"
"216","P09382","Secreted"
"217","P09466","Secreted"
"218","P09601","Endoplasmic reticulum"
"219","P09601","Membrane"
"220","P09601","Microsome"
"221","P09603","Cell membrane"
"222","P09603","Membrane"
"223","P09603","Secreted"
"224","P0DOY2","Cell membrane"
"225","P0DOY2","Immunoglobulin"
"226","P0DOY2","Membrane"
"227","P0DOY2","Secreted"
"228","P10145","Secreted"
"229","P10147","Secreted"
"230","P10451","Secreted"
"231","P10646","Endoplasmic reticulum"
"232","P10646","Membrane"
"233","P10646","Microsome"
"234","P10646","Secreted"
"235","P10721","Cell membrane"
"236","P10721","Cytoplasm"
"237","P10721","Membrane"
"238","P10747","Membrane"
"239","P11215","Cell membrane"
"240","P11215","Membrane"
"241","P11226","Secreted"
"242","P11464","Secreted"
"243","P11684","Secreted"
"244","P12034","Secreted"
"245","P12318","Cell membrane"
"246","P12318","Membrane"
"247","P12544","Secreted"
"248","P12830","Cell junction"
"249","P12830","Cell membrane"
"250","P12830","Endosome"
"251","P12830","Golgi apparatus"
"252","P12830","Membrane"
"253","P13232","Secreted"
"254","P13236","Secreted"
"255","P13284","Lysosome"
"256","P13284","Secreted"
"257","P13385","Cell membrane"
"258","P13385","Membrane"
"259","P13385","Secreted"
"260","P13500","Secreted"
"261","P13501","Secreted"
"262","P13591","Cell membrane"
"263","P13591","Membrane"
"264","P13591","Secreted"
"265","P13598","Cell projection"
"266","P13598","Membrane"
"267","P13686","Lysosome"
"268","P13725","Secreted"
"269","P13987","Cell membrane"
"270","P13987","Membrane"
"271","P13987","Secreted"
"272","P14151","Cell membrane"
"273","P14151","Membrane"
"274","P14207","Cell membrane"
"275","P14207","Membrane"
"276","P14207","Secreted"
"277","P14543","Basement membrane"
"278","P14543","Extracellular matrix"
"279","P14543","Secreted"
"280","P14625","Endoplasmic reticulum"
"281","P14625","Sarcoplasmic reticulum"
"282","P14778","Cell membrane"
"283","P14778","Membrane"
"284","P14778","Secreted"
"285","P14780","Extracellular matrix"
"286","P14780","Secreted"
"287","P14784","Cell membrane"
"288","P14784","Membrane"
"289","P15018","Secreted"
"290","P15085","Secreted"
"291","P15086","Secreted"
"292","P15090","Cytoplasm"
"293","P15090","Nucleus"
"294","P15144","Cell membrane"
"295","P15144","Membrane"
"296","P15529","Cytoplasmic vesicle"
"297","P15529","Membrane"
"298","P15692","Secreted"
"299","P15907","Golgi apparatus"
"300","P15907","Membrane"
"301","P15907","Secreted"
"302","P16109","Cell membrane"
"303","P16109","Membrane"
"304","P16284","Cell junction"
"305","P16284","Cell membrane"
"306","P16284","Membrane"
"307","P16422","Cell junction"
"308","P16422","Cell membrane"
"309","P16422","Membrane"
"310","P16422","Tight junction"
"311","P16444","Cell membrane"
"312","P16444","Cell projection"
"313","P16444","Membrane"
"314","P16581","Cell membrane"
"315","P16581","Membrane"
"316","P16871","Cell membrane"
"317","P16871","Membrane"
"318","P16871","Secreted"
"319","P17813","Cell membrane"
"320","P17813","Membrane"
"321","P17931","Cytoplasm"
"322","P17931","Nucleus"
"323","P17931","Secreted"
"324","P17931","Spliceosome"
"325","P17936","Secreted"
"326","P18031","Endoplasmic reticulum"
"327","P18031","Membrane"
"328","P18065","Secreted"
"329","P19021","Cytoplasmic vesicle"
"330","P19021","Membrane"
"331","P19021","Secreted"
"332","P19320","Membrane"
"333","P19438","Cell membrane"
"334","P19438","Golgi apparatus"
"335","P19438","Membrane"
"336","P19438","Secreted"
"337","P19801","Secreted"
"338","P19957","Secreted"
"339","P20023","Cell membrane"
"340","P20023","Membrane"
"341","P20062","Secreted"
"342","P20138","Cell membrane"
"343","P20138","Membrane"
"344","P20138","Peroxisome"
"345","P20160","Membrane"
"346","P20333","Cell membrane"
