"","UniProt_ID","Tissue_specificity"
"1","O00175","Activated monocytes and activated T lymphocytes."
"2","O00182","Peripheral blood leukocytes and lymphatic tissues"
"3","O00182","Expressed in lung, liver, breast and kidney with higher levels in tumor endothelial cells than normal endothelium (at protein level) "
"4","O00182","Expressed in trophoblast cells in decidua and placenta in pregnancy (at protein level) "
"5","O00182","Isoform 2 is the most abundant isoform expressed in endothelial cells "
"6","O00182","Upon endothelial cell activation isoform 2 expression decreases while expression of isoform 3 and isoform 5 increases "
"7","O00182","Isoform 4 decreases in pathological pregnancy "
"8","O00300","Highly expressed in adult lung, heart, kidney, liver, spleen, thymus, prostate, ovary, small intestine, thyroid, lymph node, trachea, adrenal gland, testis, and bone marrow"
"9","O00300","Detected at very low levels in brain, placenta and skeletal muscle"
"10","O00300","Highly expressed in fetal kidney, liver and lung."
"11","O00308","Detected in heart, throughout the brain, placenta, lung, liver, muscle, kidney and pancreas"
"12","O00308","Also detected in spleen and peripheral blood leukocytes"
"13","O00533","Expressed in the fetal and adult brain as well as in Schwann cell culture"
"14","O00533","Also detected in adult peripheral tissues"
"15","O14625","High levels in peripheral blood leukocytes, pancreas and liver astrocytes"
"16","O14625","Moderate levels in thymus, spleen and lung"
"17","O14625","Low levels in placenta, prostate and small intestine"
"18","O14625","Also found in epidermal basal layer keratinocytes in skin disorders."
"19","O14786","The expression of isoforms 1 and 2 does not seem to overlap"
"20","O14786","Isoform 1 is expressed by the blood vessels of different tissues"
"21","O14786","In the developing embryo it is found predominantly in the nervous system"
"22","O14786","In adult tissues, it is highly expressed in heart and placenta; moderately in lung, liver, skeletal muscle, kidney and pancreas; and low in adult brain"
"23","O14786","Isoform 2 is found in liver hepatocytes, kidney distal and proximal tubules."
"24","O14788","Highest in the peripheral lymph nodes, weak in spleen, peripheral blood Leukocytes, bone marrow, heart, placenta, skeletal muscle, stomach and thyroid."
"25","O14798","Higher expression in normal tissues than in tumor cell lines"
"26","O14798","Highly expressed in peripheral blood lymphocytes, spleen, skeletal muscle, placenta, lung and heart."
"27","O14944","In normal adults, expressed predominantly in the placenta and peripheral blood leukocytes"
"28","O14944","High levels were detected in carcinomas of the bladder, lung, kidney and colon"
"29","O15169","Ubiquitously expressed."
"30","O15263","Expressed in the skin and respiratory tract."
"31","O15444","Specifically expressed by thymic dendritic cells"
"32","O15444","High levels in thymus and small intestine."
"33","O15467","Mainly expressed in liver, also found in spleen and thymus"
"34","O15467","Highly expressed in LPS- and IFN-gamma-activated monocytes, weakly in some lymphocytes, including natural killer cells, gamma-delta T-cells, and some T-cell clones."
"35","O15496","Found in spleen, thymus, peripheral blood leukocytes, pancreas, lung, and colon"
"36","O43508","Highly expressed in adult heart, pancreas, skeletal muscle, brain, colon, small intestine, lung, ovary, prostate, spleen, lymph node, appendix and peripheral blood lymphocytes"
"37","O43508","Low expression in kidney, testis, liver, placenta, thymus and bone marrow"
"38","O43508","Also detected in fetal kidney, liver, lung and brain."
"39","O43557","Predominantly expressed in the spleen but also found in the brain"
"40","O43557","Weakly expressed in peripheral lymphoid tissues and in heart, placenta, liver, lung, appendix, and kidney, and no expression seen in fetal tissues, endocrine glands, or nonhematopoietic tumor lines"
"41","O43927","Highest levels in liver, followed by spleen, lymph node, appendix and stomach"
"42","O43927","Low levels in salivary gland, mammary gland and fetal spleen."
"43","O75015","Expressed specifically by polymorphonuclear leukocytes (neutrophils)"
"44","O75015","Also expressed by stimulated eosinophils."
"45","O75023","Detected in a natural killer (NK) cells"
"46","O75144","Isoform 1 is widely expressed (brain, heart, kidney, liver, lung, pancreas, placenta, skeletal muscle, bone marrow, colon, ovary, prostate, testis, lymph nodes, leukocytes, spleen, thymus and tonsil), while isoform 2 is detected only in lymph nodes, leukocytes and spleen"
"47","O75144","Expressed on activated monocytes and dendritic cells"
"48","O75509","Detected in fetal spinal cord and in brain neurons, with higher levels in brain from Alzheimer disease patients (at protein level)"
"49","O75509","Highly expressed in heart, brain, placenta, pancreas, lymph node, thymus and prostate"
"50","O75509","Detected at lower levels in lung, skeletal muscle, kidney, testis, uterus, small intestine, colon, spleen, bone marrow and fetal liver"
"51","O75509","Very low levels were found in adult liver and peripheral blood leukocytes"
"52","O75594","Highly expressed in bone marrow"
"53","O75594","Weak expression found in kidney, liver, small intestine, spleen, thymus, peripheral leukocyte, lung, fetal spleen and neutrophils"
"54","O76036","Selectively expressed by both resting and activated NK cells"
"55","O76070","Highly expressed in brain, particularly in the substantia nigra"
"56","O76070","Also expressed in the corpus callosum, heart, skeletal muscle, ovary, testis, colon and spleen"
"57","O76070","Weak expression in pancreas, kidney and lung."
"58","O94985","Expressed in the brain and, a lower level, in the heart, skeletal muscle, kidney and placenta"
"59","O94985","Accumulates in dystrophic neurites around the amyloid core of Alzheimer disease senile plaques (at protein level)"
"60","O95445","Plasma protein"
"61","O95445","Expressed in liver and kidney."
"62","O95630","Ubiquitously expressed."
"63","O95727","In the immune system, expression is restricted to activated class-I MHC-restricted cells, including NKT and CD8 cells"
"64","O95727","Strongly expressed in spleen, thymus, small intestine, peripheral blood leukocyte, and in Purkinje neurons in cerebellum"
"65","O95727","Expressed at much lower levels in testis, ovary, colon, lung and lymphoid tissues"
"66","O95750","Expressed in fetal brain, cartilage, retina, and adult gall bladder"
"67","O95760","Expressed at high level in high endothelial venules found in tonsils, Peyer patches and mesenteric lymph nodes"
"68","O95760","Almost undetectable in placenta"
"69","O95998","Strongly expressed in heart, lung, placenta and spleen"
"70","P00533","Ubiquitously expressed"
"71","P00533","Isoform 2 is also expressed in ovarian cancers"
"72","P00749","Expressed in the prostate gland and prostate cancers"
"73","P00750","Synthesized in numerous tissues (including tumors) and secreted into most extracellular body fluids, such as plasma, uterine fluid, saliva, gingival crevicular fluid, tears, seminal fluid, and milk."
"74","P00813","Found in all tissues, occurs in large amounts in T-lymphocytes "
"75","P00813","Expressed at the time of weaning in gastrointestinal tissues"
"76","P01033","Detected in rheumatoid synovial fluid (at protein level)"
"77","P01034","Expressed in submandibular and sublingual saliva but not in parotid saliva (at protein level)"
"78","P01034","Expressed in various body fluids, such as the cerebrospinal fluid and plasma"
"79","P01034","Expressed in highest levels in the epididymis, vas deferens, brain, thymus, and ovary and the lowest in the submandibular gland"
"80","P01127","Expressed at high levels in the heart, brain (sustantia nigra), placenta and fetal kidney"
"81","P01127","Expressed at moderate levels in the brain (hippocampus), skeletal muscle, kidney and lung"
"82","P01133","Expressed in kidney, salivary gland, cerebrum and prostate"
"83","P01135","Isoform 1, isoform 3 and isoform 4 are expressed in keratinocytes and tumor-derived cell lines"
"84","P01137","Highly expressed in bone "
"85","P01137","Abundantly expressed in articular cartilage and chondrocytes and is increased in osteoarthritis (OA) "
"86","P01137","Colocalizes with ASPN in chondrocytes within OA lesions of articular cartilage "
"87","P01579","Released primarily from activated T lymphocytes."
"88","P01730","Highly expressed in T-helper cells"
"89","P01730","The presence of CD4 is a hallmark of T-helper cells which are specialized in the activation and growth of cytotoxic T-cells, regulation of B cells, or activation of phagocytes"
"90","P01730","CD4 is also present in other immune cells such as macrophages, dendritic cells or NK cells"
"91","P01732","CD8 on thymus-derived T-cells usually consists of a disulfide-linked alpha/CD8A and a beta/CD8B chain"
"92","P01732","Less frequently, CD8 can be expressed as a CD8A homodimer"
"93","P01732","A subset of natural killer cells, memory T-cells, intraepithelial lymphocytes, monocytes and dendritic cells expresses CD8A homodimers"
"94","P01732","Expressed at the cell surface of plasmacytoid dendritic cells upon herpes simplex virus-1 stimulation"
"95","P02452","Forms the fibrils of tendon, ligaments and bones"
"96","P02452","In bones the fibrils are mineralized with calcium hydroxyapatite."
"97","P02778","Mainly secreted by monocytes, endothelial cells as well as fibroblasts"
"98","P02778","Expressed by epithelial cells in thymus "
"99","P02778","Microglial cells produce CXCL10 in response to viral stimulation "
"100","P03950","Expressed predominantly in the liver"
"101","P03950","Also detected in endothelial cells and spinal cord neurons"
"102","P03951","Isoform 2 is produced by platelets and megakaryocytes but absent from other blood cells."
"103","P04070","Plasma; synthesized in the liver."
"104","P04275","Plasma."
"105","P05089","Within the immune system initially reported to be selectively expressed in granulocytes (polymorphonuclear leukocytes [PMNs]) "
"106","P05089","Also detected in macrophages mycobacterial granulomas "
"107","P05089","Expressed in group2 innate lymphoid cells (ILC2s) during lung disease "
"108","P05107","Leukocytes "
"109","P05107","Expressed in neutrophils (at protein level) "
"110","P05121","Expressed in endothelial cells "
"111","P05121","Found in plasma, platelets, and hepatoma and fibrosarcoma cells"
"112","P05154","Predominantly expressed in the epithelium of seminal vesicles"
"113","P05154","Expressed in the proximal tubular epithelium of the kidney"
"114","P05154","Expressed in the superficial and more differentiated epidermal keratinocytes of the skin"
"115","P05154","Expressed in megakaryocytes and platelets"
"116","P05154","Expressed poorly in kidney tumor cells compared to non tumor kidney tissues"
"117","P05154","Expressed in spermatozoa"
"118","P05154","Present in very high concentration in seminal plasma"
"119","P05154","Present in high concentration in plasma, synovial and Graaf follicle fluids"
"120","P05154","Present in low concentration in breast milk and in amniotic fluids"
"121","P05154","Present in very low concentration in urine, cerebrospinal fluids, saliva and tears (at protein level)"
"122","P05154","Strongly expressed in liver"
"123","P05154","Expressed in kidney, spleen, pancreas, skeletal muscle, heart, testes, ovary, interstitial Leydig cells, epididymal glands, seminal vesicles and prostate"
"124","P05451","In pancreatic acinar cells and, in lower levels, in brain"
