UniProt_ID,GO_BP,GO_CC,GO_MF,Tissue_specificity,Interactors,Function,Reactome_ID,KEGG_ID
O00175,cell-cell signaling [GO:0007267]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell migration [GO:0030335]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of eosinophil migration [GO:2000418]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of inflammatory response [GO:0050729]; regulation of cell shape [GO:0008360]; signal transduction [GO:0007165],extracellular space [GO:0005615],CCR3 chemokine receptor binding [GO:0031728]; CCR chemokine receptor binding [GO:0048020]; chemokine activity [GO:0008009]; receptor ligand activity [GO:0048018],Activated monocytes and activated T lymphocytes.,P13501; O14625,"Chemotactic for resting T-lymphocytes, and eosinophils. Has lower chemotactic activity for neutrophils but none for monocytes and activated lymphocytes. Is a strong suppressor of colony formation by a multipotential hematopoietic progenitor cell line. Binds to CCR3.",,hsa:6369;
O00182,"cellular response to interferon-gamma [GO:0071346]; cellular response to virus [GO:0098586]; chemotaxis [GO:0006935]; ERK1 and ERK2 cascade [GO:0070371]; female pregnancy [GO:0007565]; inflammatory response [GO:0006954]; maternal process involved in female pregnancy [GO:0060135]; natural killer cell tolerance induction [GO:0002519]; negative regulation of activated T cell proliferation [GO:0046007]; negative regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000562]; negative regulation of chemokine production [GO:0032682]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-gamma production [GO:0032689]; negative regulation of mast cell degranulation [GO:0043305]; negative regulation of natural killer cell mediated cytotoxicity [GO:0045953]; negative regulation of tumor necrosis factor production [GO:0032720]; p38MAPK cascade [GO:0038066]; positive regulation of activated T cell autonomous cell death [GO:0070241]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response [GO:0032834]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:2001269]; positive regulation of dendritic cell apoptotic process [GO:2000670]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interferon-gamma secretion [GO:1902715]; positive regulation of interleukin-10 secretion [GO:2001181]; positive regulation of interleukin-12 secretion [GO:2001184]; positive regulation of interleukin-13 secretion [GO:2000667]; positive regulation of interleukin-1 beta secretion [GO:0050718]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of interleukin-6 secretion [GO:2000778]; positive regulation of interleukin-8 secretion [GO:2000484]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001190]; positive regulation of transforming growth factor beta production [GO:0071636]; positive regulation of tumor necrosis factor secretion [GO:1904469]; positive regulation of viral entry into host cell [GO:0046598]; response to interleukin-1 [GO:0070555]; response to lipopolysaccharide [GO:0032496]",collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634],carbohydrate binding [GO:0030246]; disaccharide binding [GO:0048030]; enzyme binding [GO:0019899]; galactose binding [GO:0005534]; galactoside binding [GO:0016936],"Peripheral blood leukocytes and lymphatic tissues. Expressed in lung, liver, breast and kidney with higher levels in tumor endothelial cells than normal endothelium (at protein level) (PubMed:24333696). Expressed in trophoblast cells in decidua and placenta in pregnancy (at protein level) (PubMed:23242525, PubMed:25578313). Isoform 2 is the most abundant isoform expressed in endothelial cells (PubMed:24333696). Upon endothelial cell activation isoform 2 expression decreases while expression of isoform 3 and isoform 5 increases (PubMed:24333696). Isoform 4 decreases in pathological pregnancy (PubMed:23242525). {ECO:0000269|PubMed:23242525, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:25578313}.",,"Binds galactosides (PubMed:18005988). Has high affinity for the Forssman pentasaccharide (PubMed:18005988). Ligand for HAVCR2/TIM3 (PubMed:16286920). Binding to HAVCR2 induces T-helper type 1 lymphocyte (Th1) death (PubMed:16286920). Also stimulates bactericidal activity in infected macrophages by causing macrophage activation and IL1B secretion which restricts intracellular bacterial growth (By similarity). Ligand for P4HB; the interaction retains P4HB at the cell surface of Th2 T-helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration (PubMed:21670307). Ligand for CD44; the interaction enhances binding of SMAD3 to the FOXP3 promoter, leading to up-regulation of FOXP3 expression and increased induced regulatory T (iTreg) cell stability and suppressive function (By similarity). Promotes ability of mesenchymal stromal cells to suppress T-cell proliferation (PubMed:23817958). Expands regulatory T-cells and induces cytotoxic T-cell apoptosis following virus infection (PubMed:20209097). Activates ERK1/2 phosphorylation inducing cytokine (IL-6, IL-8, IL-12) and chemokine (CCL2) production in mast and dendritic cells (PubMed:24465902, PubMed:16116184). Inhibits degranulation and induces apoptosis of mast cells (PubMed:24465902). Induces maturation and migration of dendritic cells (PubMed:25754930, PubMed:16116184). Inhibits natural killer (NK) cell function (PubMed:23408620). Can transform NK cell phenotype from peripheral to decidual during pregnancy (PubMed:25578313). Astrocyte derived galectin-9 enhances microglial TNF production (By similarity). May play a role in thymocyte-epithelial interactions relevant to the biology of the thymus. May provide the molecular basis for urate flux across cell membranes, allowing urate that is formed during purine metabolism to efflux from cells and serving as an electrogenic transporter that plays an important role in renal and gastrointestinal urate excretion (By similarity). Highly selective to the anion urate (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000250|UniProtKB:P97840, ECO:0000269|PubMed:16116184, ECO:0000269|PubMed:16286920, ECO:0000269|PubMed:18005988, ECO:0000269|PubMed:18977853, ECO:0000269|PubMed:20209097, ECO:0000269|PubMed:21670307, ECO:0000269|PubMed:23408620, ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:24465902, ECO:0000269|PubMed:25578313, ECO:0000269|PubMed:25754930}.; Isoform 2: Acts as an eosinophil chemoattractant (PubMed:9642261). It also inhibits angiogenesis (PubMed:24333696). Suppresses IFNG production by natural killer cells (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:9642261}.",R-HSA-451927;,hsa:3965;
O00300,apoptotic process [GO:0006915]; extracellular matrix organization [GO:0030198]; negative regulation of bone resorption [GO:0045779]; negative regulation of odontogenesis of dentin-containing tooth [GO:0042489]; response to arsenic-containing substance [GO:0046685]; response to drug [GO:0042493]; response to estrogen [GO:0043627]; response to magnesium ion [GO:0032026]; response to nutrient [GO:0007584]; signal transduction [GO:0007165]; skeletal system development [GO:0001501]; tumor necrosis factor-mediated signaling pathway [GO:0033209],extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],cytokine activity [GO:0005125]; signaling receptor activity [GO:0038023],"Highly expressed in adult lung, heart, kidney, liver, spleen, thymus, prostate, ovary, small intestine, thyroid, lymph node, trachea, adrenal gland, testis, and bone marrow. Detected at very low levels in brain, placenta and skeletal muscle. Highly expressed in fetal kidney, liver and lung.",O14788,"Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis. Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro. Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B. May also play a role in preventing arterial calcification. May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis. TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis. {ECO:0000269|PubMed:22664871, ECO:0000269|PubMed:9168977}.",R-HSA-5669034;,hsa:4982;
O00308,"cellular protein modification process [GO:0006464]; extracellular transport [GO:0006858]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of gene expression [GO:0010629]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein transport [GO:0051224]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transporter activity [GO:0032410]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391]; regulation of potassium ion transmembrane transporter activity [GO:1901016]; ubiquitin-dependent protein catabolic process [GO:0006511]; viral entry into host cell [GO:0046718]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151],RNA polymerase II transcription factor binding [GO:0001085]; transcription factor binding [GO:0008134]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842],"Detected in heart, throughout the brain, placenta, lung, liver, muscle, kidney and pancreas. Also detected in spleen and peripheral blood leukocytes. {ECO:0000269|PubMed:19274063, ECO:0000269|PubMed:9647693}.",Q8WU02; P78563; Q8N8A2; Q8N5I2; Q96B67; Q96D16; Q9BUJ2; Q3B8N2; Q9NR12; Q01860; Q9BVN2; Q15796; P84022; O15105; Q5TAL4; Q9BUZ4; A5D8V6; O43516; A0A0S2Z5X4,"E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Polyubiquitinates POU5F1 by 'Lys-63'-linked conjugation and promotes it to proteasomal degradation; in embryonic stem cells (ESCs) the ubiquitination is proposed to regulate POU5F1 protein level. Ubiquitinates EGR2 and promotes it to proteasomal degradation; in T-cells the ubiquitination inhibits activation-induced cell death. Ubiquitinates SLC11A2; the ubiquitination is enhanced by presence of NDFIP1 and NDFIP2. Ubiquitinates RPB1 and promotes it to proteasomal degradation. {ECO:0000269|PubMed:19274063, ECO:0000269|PubMed:19651900}.",R-HSA-8948751;R-HSA-9013507;,hsa:11060;
O00533,adult locomotory behavior [GO:0008344]; axon guidance [GO:0007411]; cell adhesion [GO:0007155]; cognition [GO:0050890]; exploration behavior [GO:0035640]; negative regulation of neuron apoptotic process [GO:0043524]; neuron migration [GO:0001764]; signal transduction [GO:0007165],apical part of cell [GO:0045177]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],protease binding [GO:0002020],Expressed in the fetal and adult brain as well as in Schwann cell culture. Also detected in adult peripheral tissues. {ECO:0000269|PubMed:9799093}.,,Extracellular matrix and cell adhesion protein that plays a role in nervous system development and in synaptic plasticity. Both soluble and membranous forms promote neurite outgrowth of cerebellar and hippocampal neurons and suppress neuronal cell death. Plays a role in neuronal positioning of pyramidal neurons and in regulation of both the number of interneurons and the efficacy of GABAergic synapses. May play a role in regulating cell migration in nerve regeneration and cortical development. Potentiates integrin-dependent cell migration towards extracellular matrix proteins. Recruits ANK3 to the plasma membrane (By similarity). {ECO:0000250}.,R-HSA-447041;,hsa:10752;
O14625,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; cellular response to lipopolysaccharide [GO:0071222]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; inflammatory response [GO:0006954]; killing of cells of other organism [GO:0031640]; leukocyte chemotaxis [GO:0030595]; neutrophil chemotaxis [GO:0030593]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; regulation of cell population proliferation [GO:0042127]; signal transduction [GO:0007165]; T cell chemotaxis [GO:0010818],cell [GO:0005623]; extracellular region [GO:0005576]; extracellular space [GO:0005615],chemokine activity [GO:0008009]; CXCR3 chemokine receptor binding [GO:0048248]; heparin binding [GO:0008201],"High levels in peripheral blood leukocytes, pancreas and liver astrocytes. Moderate levels in thymus, spleen and lung. Low levels in placenta, prostate and small intestine. Also found in epidermal basal layer keratinocytes in skin disorders.",Q99616; O00175; Q9Y258; P13501; P48061; O95715; P27487; Q5JR59; P02776; P10720; P98066,"Chemotactic for interleukin-activated T-cells but not unstimulated T-cells, neutrophils or monocytes. Induces calcium release in activated T-cells. Binds to CXCR3. May play an important role in CNS diseases which involve T-cell recruitment. May play a role in skin immune responses.",R-HSA-380108;R-HSA-418594;,hsa:6373;
O14786,"actin cytoskeleton reorganization [GO:0031532]; angiogenesis [GO:0001525]; angiogenesis involved in coronary vascular morphogenesis [GO:0060978]; animal organ morphogenesis [GO:0009887]; artery morphogenesis [GO:0048844]; axonal fasciculation [GO:0007413]; axon extension involved in axon guidance [GO:0048846]; axon guidance [GO:0007411]; axonogenesis involved in innervation [GO:0060385]; basal dendrite arborization [GO:0150020]; basal dendrite development [GO:0150018]; branching involved in blood vessel morphogenesis [GO:0001569]; branchiomotor neuron axon guidance [GO:0021785]; cell-cell signaling [GO:0007267]; cell migration involved in sprouting angiogenesis [GO:0002042]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; commissural neuron axon guidance [GO:0071679]; coronary artery morphogenesis [GO:0060982]; dichotomous subdivision of terminal units involved in salivary gland branching [GO:0060666]; dorsal root ganglion morphogenesis [GO:1904835]; endothelial cell chemotaxis [GO:0035767]; endothelial cell migration [GO:0043542]; endothelial tip cell fate specification [GO:0097102]; facial nerve structural organization [GO:0021612]; facioacoustic ganglion development [GO:1903375]; gonadotrophin-releasing hormone neuronal migration to the hypothalamus [GO:0021828]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; integrin-mediated signaling pathway [GO:0007229]; motor neuron migration [GO:0097475]; negative regulation of axon extension involved in axon guidance [GO:0048843]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of neuron apoptotic process [GO:0043524]; nerve development [GO:0021675]; neural crest cell migration involved in autonomic nervous system development [GO:1901166]; neuron migration [GO:0001764]; neuropilin signaling pathway [GO:0038189]; otic placode development [GO:1905040]; outflow tract septum morphogenesis [GO:0003148]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive chemotaxis [GO:0050918]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; positive regulation of axon extension involved in axon guidance [GO:0048842]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of cytokine activity [GO:0060301]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphorylation [GO:0042327]; positive regulation of retinal ganglion cell axon guidance [GO:1902336]; positive regulation of smooth muscle cell migration [GO:0014911]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; postsynapse organization [GO:0099173]; protein localization to early endosome [GO:1902946]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of retinal ganglion cell axon guidance [GO:0090259]; regulation of vesicle-mediated transport [GO:0060627]; renal artery morphogenesis [GO:0061441]; response to wounding [GO:0009611]; retinal ganglion cell axon guidance [GO:0031290]; retina vasculature morphogenesis in camera-type eye [GO:0061299]; semaphorin-plexin signaling pathway [GO:0071526]; semaphorin-plexin signaling pathway involved in axon guidance [GO:1902287]; semaphorin-plexin signaling pathway involved in neuron projection guidance [GO:1902285]; sensory neuron axon guidance [GO:0097374]; signal transduction [GO:0007165]; sprouting angiogenesis [GO:0002040]; substrate adhesion-dependent cell spreading [GO:0034446]; substrate-dependent cell migration, cell extension [GO:0006930]; sympathetic ganglion development [GO:0061549]; sympathetic neuron projection extension [GO:0097490]; sympathetic neuron projection guidance [GO:0097491]; toxin transport [GO:1901998]; trigeminal ganglion development [GO:0061551]; trigeminal nerve structural organization [GO:0021637]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; VEGF-activated neuropilin signaling pathway [GO:0038190]; VEGF-activated neuropilin signaling pathway involved in axon guidance [GO:1902378]; ventral trunk neural crest cell migration [GO:0036486]; vestibulocochlear nerve structural organization [GO:0021649]",axon [GO:0030424]; cell surface [GO:0009986]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; integral component of postsynaptic membrane [GO:0099055]; neurofilament [GO:0005883]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; semaphorin receptor complex [GO:0002116]; sorting endosome [GO:0097443],coreceptor activity [GO:0015026]; cytokine binding [GO:0019955]; growth factor binding [GO:0019838]; GTPase activator activity [GO:0005096]; heparin binding [GO:0008201]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; semaphorin receptor activity [GO:0017154]; vascular endothelial growth factor-activated receptor activity [GO:0005021]; vascular endothelial growth factor binding [GO:0038085],"The expression of isoforms 1 and 2 does not seem to overlap. Isoform 1 is expressed by the blood vessels of different tissues. In the developing embryo it is found predominantly in the nervous system. In adult tissues, it is highly expressed in heart and placenta; moderately in lung, liver, skeletal muscle, kidney and pancreas; and low in adult brain. Isoform 2 is found in liver hepatocytes, kidney distal and proximal tubules.",P21333; P08648; P35968; P15692; P15692-4,"Receptor involved in the development of the cardiovascular system, in angiogenesis, in the formation of certain neuronal circuits and in organogenesis outside the nervous system. It mediates the chemorepulsant activity of semaphorins (PubMed:9288753, PubMed:9529250, PubMed:10688880). It binds to semaphorin 3A, The PLGF-2 isoform of PGF, The VEGF165 isoform of VEGFA and VEGFB (PubMed:9288753, PubMed:9529250, PubMed:10688880). Coexpression with KDR results in increased VEGF165 binding to KDR as well as increased chemotaxis. Regulate VEGF-induced angiogenesis. Binding to VEGFA initiates a signaling pathway needed for motor neuron axon guidance and cell body migration, including for the caudal migration of facial motor neurons from rhombomere 4 to rhombomere 6 during embryonic development (By similarity). Regulates mitochondrial iron transport via interaction with ABCB8/MITOSUR (PubMed:30623799). {ECO:0000250|UniProtKB:P97333, ECO:0000269|PubMed:10688880, ECO:0000269|PubMed:30623799, ECO:0000269|PubMed:9288753, ECO:0000269|PubMed:9529250}.; Isoform 2: Binds VEGF-165 and may inhibit its binding to cells (PubMed:10748121, PubMed:26503042). May induce apoptosis by sequestering VEGF-165 (PubMed:10748121). May bind as well various members of the semaphorin family. Its expression has an averse effect on blood vessel number and integrity. {ECO:0000269|PubMed:10748121, ECO:0000269|PubMed:26503042}.",R-HSA-194306;R-HSA-376176;R-HSA-399954;R-HSA-399955;R-HSA-399956;R-HSA-445144;R-HSA-447041;,hsa:8829;
O14788,activation of JUN kinase activity [GO:0007257]; bone resorption [GO:0045453]; calcium ion homeostasis [GO:0055074]; calcium-mediated signaling [GO:0019722]; cellular response to leukemia inhibitory factor [GO:1990830]; cytokine-mediated signaling pathway [GO:0019221]; ERK1 and ERK2 cascade [GO:0070371]; immune response [GO:0006955]; mammary gland alveolus development [GO:0060749]; mammary gland epithelial cell proliferation [GO:0033598]; monocyte chemotaxis [GO:0002548]; ossification [GO:0001503]; osteoclast development [GO:0036035]; osteoclast differentiation [GO:0030316]; osteoclast proliferation [GO:0002158]; paracrine signaling [GO:0038001]; positive regulation of bone resorption [GO:0045780]; positive regulation of corticotropin-releasing hormone secretion [GO:0051466]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of ERK1 and ERK2 cascade via TNFSF11-mediated signaling [GO:0071848]; positive regulation of fever generation by positive regulation of prostaglandin secretion [GO:0071812]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of osteoclast development [GO:2001206]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of T cell activation [GO:0050870]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of actin binding [GO:1904616]; TNFSF11-mediated signaling pathway [GO:0071847]; tooth eruption [GO:0044691]; tumor necrosis factor-mediated signaling pathway [GO:0033209],cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],cytokine activity [GO:0005125]; identical protein binding [GO:0042802]; tumor necrosis factor receptor binding [GO:0005164]; tumor necrosis factor receptor superfamily binding [GO:0032813],"Highest in the peripheral lymph nodes, weak in spleen, peripheral blood Leukocytes, bone marrow, heart, placenta, skeletal muscle, stomach and thyroid.",P98066; Q9Y6Q6; O00300,"Cytokine that binds to TNFRSF11B/OPG and to TNFRSF11A/RANK. Osteoclast differentiation and activation factor. Augments the ability of dendritic cells to stimulate naive T-cell proliferation. May be an important regulator of interactions between T-cells and dendritic cells and may play a role in the regulation of the T-cell-dependent immune response. May also play an important role in enhanced bone-resorption in humoral hypercalcemia of malignancy (PubMed:22664871). Induces osteoclastogenesis by activating multiple signaling pathways in osteoclast precursor cells, chief among which is induction of long lasting oscillations in the intracellular concentration of Ca (2+) resulting in the activation of NFATC1, which translocates to the nucleus and induces osteoclast-specific gene transcription to allow differentiation of osteoclasts. During osteoclast differentiation, in a TMEM64 and ATP2A2-dependent manner induces activation of CREB1 and mitochondrial ROS generation necessary for proper osteoclast generation (By similarity). {ECO:0000250|UniProtKB:O35235, ECO:0000269|PubMed:22664871}.",R-HSA-5668541;R-HSA-5669034;R-HSA-5676594;,hsa:8600;
O14798,positive regulation of apoptotic process [GO:0043065]; regulation of apoptotic process [GO:0042981]; TRAIL-activated apoptotic signaling pathway [GO:0036462],anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; plasma membrane [GO:0005886],TRAIL binding [GO:0045569]; transmembrane signaling receptor activity [GO:0004888],"Higher expression in normal tissues than in tumor cell lines. Highly expressed in peripheral blood lymphocytes, spleen, skeletal muscle, placenta, lung and heart.",,Receptor for the cytotoxic ligand TRAIL. Lacks a cytoplasmic death domain and hence is not capable of inducing apoptosis. May protect cells against TRAIL mediated apoptosis by competing with TRAIL-R1 and R2 for binding to the ligand.,R-HSA-6803211;,hsa:8794;
O14944,"anatomical structure morphogenesis [GO:0009653]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; cell-cell signaling [GO:0007267]; cytokine-mediated signaling pathway [GO:0019221]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2 signaling pathway [GO:0038128]; female meiotic nuclear division [GO:0007143]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; luteinizing hormone signaling pathway [GO:0042700]; MAPK cascade [GO:0000165]; membrane organization [GO:0061024]; mRNA transcription [GO:0009299]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of smooth muscle cell differentiation [GO:0051151]; negative regulation of transcription, DNA-templated [GO:0045892]; oocyte maturation [GO:0001556]; ovarian cumulus expansion [GO:0001550]; ovulation [GO:0030728]; positive regulation of cell division [GO:0051781]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine biosynthetic process [GO:0042108]; positive regulation of cytokine production [GO:0001819]; positive regulation of DNA replication [GO:0045740]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of innate immune response [GO:0045089]; positive regulation of interleukin-6 biosynthetic process [GO:0045410]; positive regulation of mitotic nuclear division [GO:0045840]; positive regulation of phosphorylation [GO:0042327]; positive regulation of protein kinase activity [GO:0045860]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of smooth muscle cell proliferation [GO:0048661]; primary follicle stage [GO:0048160]; regulation of cell motility [GO:2000145]; response to peptide hormone [GO:0043434]; signal transduction [GO:0007165]; wound healing [GO:0042060]",clathrin-coated vesicle membrane [GO:0030665]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887],epidermal growth factor receptor binding [GO:0005154]; growth factor activity [GO:0008083],"In normal adults, expressed predominantly in the placenta and peripheral blood leukocytes. High levels were detected in carcinomas of the bladder, lung, kidney and colon. {ECO:0000269|PubMed:9337852}.",,"Ligand of the EGF receptor/EGFR and ERBB4. Stimulates EGFR and ERBB4 tyrosine phosphorylation (PubMed:9419975). Contributes to inflammation, wound healing, tissue repair, and oocyte maturation by regulating angiogenesis and vascular remodeling and by stimulating cell proliferation (PubMed:24631357). {ECO:0000269|PubMed:9419975, ECO:0000303|PubMed:24631357}.",R-HSA-1227986;R-HSA-1236394;R-HSA-1250196;R-HSA-1250342;R-HSA-1250347;R-HSA-1251985;R-HSA-1257604;R-HSA-177929;R-HSA-179812;R-HSA-180292;R-HSA-180336;R-HSA-182971;R-HSA-1963640;R-HSA-1963642;R-HSA-212718;R-HSA-2219530;R-HSA-5638303;R-HSA-5673001;R-HSA-6785631;R-HSA-6811558;R-HSA-8847993;R-HSA-8856825;R-HSA-8856828;R-HSA-8863795;R-HSA-9009391;R-HSA-9634638;,hsa:2069;
