"","UniProt_ID","Molecular_Function"
"1","O00175","Cytokine"
"2","O00300","Receptor"
"3","O00308","Transferase"
"4","O00533","Developmental protein"
"5","O14625","Cytokine"
"6","O14786","Developmental protein"
"7","O14786","Heparin-binding"
"8","O14786","Receptor"
"9","O14788","Cytokine"
"10","O14788","Developmental protein"
"11","O14788","Receptor"
"12","O14798","Receptor"
"13","O14944","Developmental protein"
"14","O14944","Growth factor"
"15","O14944","Mitogen"
"16","O15031","Developmental protein"
"17","O15031","Receptor"
"18","O15123","Developmental protein"
"19","O15169","Developmental protein"
"20","O15263","Antibiotic"
"21","O15263","Antimicrobial"
"22","O15263","Defensin"
"23","O15444","Cytokine"
"24","O15467","Cytokine"
"25","O15496","Hydrolase"
"26","O43508","Cytokine"
"27","O43508","Developmental protein"
"28","O43557","Cytokine"
"29","O43927","Cytokine"
"30","O75015","IgG-binding protein"
"31","O75015","Receptor"
"32","O75023","Receptor"
"33","O75509","Receptor"
"34","O75594","Antibiotic"
"35","O75594","Antimicrobial"
"36","O76036","Receptor"
"37","O95630","Hydrolase"
"38","O95630","Metalloprotease"
"39","O95630","Protease"
"40","O95750","Growth factor"
"41","O95760","Cytokine"
"42","P00441","Antioxidant"
"43","P00441","Oxidoreductase"
"44","P00533","Developmental protein"
"45","P00533","Host cell receptor for virus entry"
"46","P00533","Kinase"
"47","P00533","Receptor"
"48","P00533","Transferase"
"49","P00533","Tyrosine-protein kinase"
"50","P00749","Hydrolase"
"51","P00749","Protease"
"52","P00749","Serine protease"
"53","P00750","Hydrolase"
"54","P00750","Protease"
"55","P00750","Serine protease"
"56","P00813","Hydrolase"
"57","P00915","Lyase"
"58","P01033","Growth factor"
"59","P01033","Metalloenzyme inhibitor"
"60","P01033","Metalloprotease inhibitor"
"61","P01033","Protease inhibitor"
"62","P01034","Protease inhibitor"
"63","P01034","Thiol protease inhibitor"
"64","P01127","Developmental protein"
"65","P01127","Growth factor"
"66","P01127","Mitogen"
"67","P01130","Host cell receptor for virus entry"
"68","P01130","Receptor"
"69","P01133","Growth factor"
"70","P01135","Growth factor"
"71","P01135","Mitogen"
"72","P01137","Growth factor"
"73","P01137","Mitogen"
"74","P01138","Growth factor"
"75","P01138","Metalloenzyme inhibitor"
"76","P01138","Metalloprotease inhibitor"
"77","P01138","Protease inhibitor"
"78","P01374","Cytokine"
"79","P01375","Cytokine"
"80","P01574","Cytokine"
"81","P01579","Cytokine"
"82","P01583","Cytokine"
"83","P01583","Mitogen"
"84","P01583","Pyrogen"
"85","P01589","Receptor"
"86","P01730","Host cell receptor for virus entry"
"87","P01730","Receptor"
"88","P02144","Muscle protein"
"89","P02778","Cytokine"
"90","P02786","Host cell receptor for virus entry"
"91","P02786","Receptor"
"92","P03950","Developmental protein"
"93","P03950","DNA-binding"
"94","P03950","Endonuclease"
"95","P03950","Hydrolase"
"96","P03950","Nuclease"
"97","P03950","Protein synthesis inhibitor"
"98","P03951","Heparin-binding"
"99","P03951","Hydrolase"
"100","P03951","Protease"
"101","P03951","Serine protease"
"102","P03956","Hydrolase"
"103","P03956","Metalloprotease"
"104","P03956","Protease"
"105","P04070","Hydrolase"
"106","P04070","Protease"
"107","P04070","Serine protease"
"108","P04080","Protease inhibitor"
"109","P04080","Thiol protease inhibitor"
"110","P04085","Developmental protein"
"111","P04085","Growth factor"
"112","P04085","Mitogen"
"113","P05089","Hydrolase"
"114","P05107","Integrin"
"115","P05107","Receptor"
"116","P05112","Cytokine"
"117","P05112","Growth factor"
"118","P05113","Cytokine"
"119","P05113","Growth factor"
"120","P05121","Protease inhibitor"
"121","P05121","Serine protease inhibitor"
"122","P05154","Heparin-binding"
"123","P05154","Protease inhibitor"
"124","P05154","Serine protease inhibitor"
"125","P05164","Oxidoreductase"
"126","P05164","Peroxidase"
"127","P05231","Cytokine"
"128","P05231","Growth factor"
"129","P05362","Host cell receptor for virus entry"
"130","P05362","Receptor"
"131","P06681","Hydrolase"
"132","P06681","Protease"
"133","P06681","Serine protease"
"134","P06748","Chaperone"
"135","P06748","RNA-binding"
"136","P07306","Receptor"
"137","P07339","Aspartyl protease"
"138","P07339","Hydrolase"
"139","P07339","Protease"
"140","P07451","Lyase"
"141","P07478","Hydrolase"
"142","P07478","Protease"
"143","P07478","Serine protease"
"144","P08253","Hydrolase"
"145","P08253","Metalloprotease"
"146","P08253","Protease"
"147","P08254","Hydrolase"
"148","P08254","Metalloprotease"
"149","P08254","Protease"
"150","P08581","Kinase"
"151","P08581","Receptor"
"152","P08581","Transferase"
"153","P08581","Tyrosine-protein kinase"
"154","P08709","Hydrolase"
"155","P08709","Protease"
"156","P08709","Serine protease"
"157","P08833","Growth factor binding"
"158","P08887","Receptor"
"159","P09038","Developmental protein"
"160","P09038","Growth factor"
"161","P09038","Heparin-binding"
"162","P09038","Mitogen"
"163","P09211","Transferase"
"164","P09237","Hydrolase"
"165","P09237","Metalloprotease"
"166","P09237","Protease"
"167","P09238","Hydrolase"
"168","P09238","Metalloprotease"
"169","P09238","Protease"
"170","P09341","Cytokine"
"171","P09341","Growth factor"
"172","P09601","Oxidoreductase"
"173","P09603","Cytokine"
"174","P09603","Growth factor"
"175","P0DOY2","Bence-Jones protein"
"176","P10144","Hydrolase"
"177","P10144","Protease"
"178","P10144","Serine protease"
"179","P10145","Cytokine"
"180","P10147","Cytokine"
"181","P10451","Cytokine"
"182","P10646","Protease inhibitor"
"183","P10646","Serine protease inhibitor"
"184","P10721","Kinase"
"185","P10721","Receptor"
"186","P10721","Transferase"
"187","P10721","Tyrosine-protein kinase"
"188","P11215","Integrin"
"189","P11215","Receptor"
"190","P11684","Phospholipase A2 inhibitor"
"191","P12034","Growth factor"
"192","P12034","Mitogen"
"193","P12318","IgG-binding protein"
"194","P12318","Receptor"
"195","P12544","Hydrolase"
"196","P12544","Protease"
"197","P12544","Serine protease"
"198","P13232","Cytokine"
"199","P13232","Growth factor"
"200","P13236","Cytokine"
"201","P13284","Oxidoreductase"
"202","P13385","Growth factor"
"203","P13500","Cytokine"
"204","P13501","Cytokine"
"205","P13591","Host cell receptor for virus entry"
"206","P13591","Receptor"
"207","P13686","Hydrolase"
"208","P13725","Cytokine"
"209","P13725","Mitogen"
"210","P14207","Receptor"
"211","P14210","Growth factor"
"212","P14210","Serine protease homolog"
"213","P14625","Chaperone"
"214","P14778","Receptor"
"215","P14780","Hydrolase"
"216","P14780","Metalloprotease"
"217","P14780","Protease"
"218","P14784","Receptor"
"219","P15018","Cytokine"
"220","P15018","Growth factor"
"221","P15085","Carboxypeptidase"
"222","P15085","Hydrolase"
"223","P15085","Metalloprotease"
"224","P15085","Protease"
"225","P15086","Carboxypeptidase"
"226","P15086","Hydrolase"
"227","P15086","Metalloprotease"
"228","P15086","Protease"
"229","P15144","Aminopeptidase"
"230","P15144","Developmental protein"
"231","P15144","Host cell receptor for virus entry"
"232","P15144","Hydrolase"
"233","P15144","Metalloprotease"
"234","P15144","Protease"
"235","P15144","Receptor"
"236","P15529","Host cell receptor for virus entry"
"237","P15529","Receptor"
"238","P15692","Developmental protein"
"239","P15692","Growth factor"
"240","P15692","Heparin-binding"
"241","P15692","Mitogen"
"242","P15907","Glycosyltransferase"
"243","P15907","Transferase"
"244","P16422","Tumor antigen"
"245","P16444","Dipeptidase"
"246","P16444","Hydrolase"
"247","P16444","Metalloprotease"
"248","P16444","Protease"
"249","P16871","Receptor"
"250","P17931","IgE-binding protein"
"251","P17936","Growth factor binding"
"252","P18031","Hydrolase"
"253","P18031","Protein phosphatase"
"254","P18065","Growth factor binding"
"255","P19021","Lyase"
"256","P19021","Monooxygenase"
