"","UniProt_ID","Biological_process","GO_ID"
"1","O00175","cell-cell signaling","GO:0007267"
"2","O00175","cellular response to interferon-gamma","GO:0071346"
"3","O00175","cellular response to interleukin-1","GO:0071347"
"4","O00175","cellular response to tumor necrosis factor","GO:0071356"
"5","O00175","chemokine-mediated signaling pathway","GO:0070098"
"6","O00175","chemotaxis","GO:0006935"
"7","O00175","cytoskeleton organization","GO:0007010"
"8","O00175","eosinophil chemotaxis","GO:0048245"
"9","O00175","G protein-coupled receptor signaling pathway","GO:0007186"
"10","O00175","immune response","GO:0006955"
"11","O00175","inflammatory response","GO:0006954"
"12","O00175","lymphocyte chemotaxis","GO:0048247"
"13","O00175","monocyte chemotaxis","GO:0002548"
"14","O00175","neutrophil chemotaxis","GO:0030593"
"15","O00175","positive regulation of actin filament polymerization","GO:0030838"
"16","O00175","positive regulation of angiogenesis","GO:0045766"
"17","O00175","positive regulation of cell migration","GO:0030335"
"18","O00175","positive regulation of endothelial cell proliferation","GO:0001938"
"19","O00175","positive regulation of eosinophil migration","GO:2000418"
"20","O00175","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"21","O00175","positive regulation of GTPase activity","GO:0043547"
"22","O00175","positive regulation of inflammatory response","GO:0050729"
"23","O00175","regulation of cell shape","GO:0008360"
"24","O00175","signal transduction","GO:0007165"
"25","O00182","cellular response to interferon-gamma","GO:0071346"
"26","O00182","cellular response to virus","GO:0098586"
"27","O00182","chemotaxis","GO:0006935"
"28","O00182","ERK1 and ERK2 cascade","GO:0070371"
"29","O00182","female pregnancy","GO:0007565"
"30","O00182","inflammatory response","GO:0006954"
"31","O00182","maternal process involved in female pregnancy","GO:0060135"
"32","O00182","natural killer cell tolerance induction","GO:0002519"
"33","O00182","negative regulation of activated T cell proliferation","GO:0046007"
"34","O00182","negative regulation of CD4-positive, alpha-beta T cell proliferation","GO:2000562"
"35","O00182","negative regulation of chemokine production","GO:0032682"
"36","O00182","negative regulation of gene expression","GO:0010629"
"37","O00182","negative regulation of interferon-gamma production","GO:0032689"
"38","O00182","negative regulation of mast cell degranulation","GO:0043305"
"39","O00182","negative regulation of natural killer cell mediated cytotoxicity","GO:0045953"
"40","O00182","negative regulation of tumor necrosis factor production","GO:0032720"
"41","O00182","p38MAPK cascade","GO:0038066"
"42","O00182","positive regulation of activated T cell autonomous cell death","GO:0070241"
"43","O00182","positive regulation of CD4-positive, alpha-beta T cell proliferation","GO:2000563"
"44","O00182","positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response","GO:0032834"
"45","O00182","positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway","GO:2001269"
"46","O00182","positive regulation of dendritic cell apoptotic process","GO:2000670"
"47","O00182","positive regulation of dendritic cell chemotaxis","GO:2000510"
"48","O00182","positive regulation of dendritic cell differentiation","GO:2001200"
"49","O00182","positive regulation of ERK1 and ERK2 cascade","GO:0070374"
"50","O00182","positive regulation of gene expression","GO:0010628"
"51","O00182","positive regulation of I-kappaB kinase/NF-kappaB signaling","GO:0043123"
"52","O00182","positive regulation of interferon-gamma secretion","GO:1902715"
"53","O00182","positive regulation of interleukin-10 secretion","GO:2001181"
"54","O00182","positive regulation of interleukin-12 secretion","GO:2001184"
"55","O00182","positive regulation of interleukin-13 secretion","GO:2000667"
"56","O00182","positive regulation of interleukin-1 beta secretion","GO:0050718"
"57","O00182","positive regulation of interleukin-4 production","GO:0032753"
"58","O00182","positive regulation of interleukin-6 secretion","GO:2000778"
"59","O00182","positive regulation of interleukin-8 secretion","GO:2000484"
"60","O00182","positive regulation of monocyte chemotactic protein-1 production","GO:0071639"
"61","O00182","positive regulation of NF-kappaB transcription factor activity","GO:0051092"
"62","O00182","positive regulation of NIK/NF-kappaB signaling","GO:1901224"
"63","O00182","positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","GO:2001190"
"64","O00182","positive regulation of transforming growth factor beta production","GO:0071636"
"65","O00182","positive regulation of tumor necrosis factor secretion","GO:1904469"
"66","O00182","positive regulation of viral entry into host cell","GO:0046598"
"67","O00182","response to interleukin-1","GO:0070555"
"68","O00182","response to lipopolysaccharide","GO:0032496"
"69","O00300","apoptotic process","GO:0006915"
"70","O00300","extracellular matrix organization","GO:0030198"
"71","O00300","negative regulation of bone resorption","GO:0045779"
"72","O00300","negative regulation of odontogenesis of dentin-containing tooth","GO:0042489"
"73","O00300","response to arsenic-containing substance","GO:0046685"
"74","O00300","response to drug","GO:0042493"
"75","O00300","response to estrogen","GO:0043627"
"76","O00300","response to magnesium ion","GO:0032026"
"77","O00300","response to nutrient","GO:0007584"
"78","O00300","signal transduction","GO:0007165"
"79","O00300","skeletal system development","GO:0001501"
"80","O00300","tumor necrosis factor-mediated signaling pathway","GO:0033209"
"81","O00308","cellular protein modification process","GO:0006464"
"82","O00308","extracellular transport","GO:0006858"
"83","O00308","negative regulation of DNA-binding transcription factor activity","GO:0043433"
"84","O00308","negative regulation of gene expression","GO:0010629"
"85","O00308","negative regulation of Notch signaling pathway","GO:0045746"
"86","O00308","negative regulation of protein transport","GO:0051224"
"87","O00308","negative regulation of transcription, DNA-templated","GO:0045892"
"88","O00308","negative regulation of transcription by RNA polymerase II","GO:0000122"
"89","O00308","negative regulation of transporter activity","GO:0032410"
"90","O00308","positive regulation of protein catabolic process","GO:0045732"
"91","O00308","positive regulation of transcription by RNA polymerase II","GO:0045944"
"92","O00308","proteasome-mediated ubiquitin-dependent protein catabolic process","GO:0043161"
"93","O00308","protein autoubiquitination","GO:0051865"
"94","O00308","protein K63-linked ubiquitination","GO:0070534"
"95","O00308","protein polyubiquitination","GO:0000209"
"96","O00308","protein ubiquitination","GO:0016567"
"97","O00308","regulation of ion transmembrane transport","GO:0034765"
"98","O00308","regulation of membrane potential","GO:0042391"
"99","O00308","regulation of potassium ion transmembrane transporter activity","GO:1901016"
"100","O00308","ubiquitin-dependent protein catabolic process","GO:0006511"
"101","O00308","viral entry into host cell","GO:0046718"
"102","O00533","adult locomotory behavior","GO:0008344"
"103","O00533","axon guidance","GO:0007411"
"104","O00533","cell adhesion","GO:0007155"
"105","O00533","cognition","GO:0050890"
"106","O00533","exploration behavior","GO:0035640"
"107","O00533","negative regulation of neuron apoptotic process","GO:0043524"
"108","O00533","neuron migration","GO:0001764"
"109","O00533","signal transduction","GO:0007165"
"110","O14625","adenylate cyclase-activating G protein-coupled receptor signaling pathway","GO:0007189"
"111","O14625","antimicrobial humoral immune response mediated by antimicrobial peptide","GO:0061844"
"112","O14625","cell-cell signaling","GO:0007267"
"113","O14625","cellular response to lipopolysaccharide","GO:0071222"
"114","O14625","chemokine-mediated signaling pathway","GO:0070098"
"115","O14625","chemotaxis","GO:0006935"
"116","O14625","G protein-coupled receptor signaling pathway","GO:0007186"
"117","O14625","immune response","GO:0006955"
"118","O14625","inflammatory response","GO:0006954"
"119","O14625","killing of cells of other organism","GO:0031640"
"120","O14625","leukocyte chemotaxis","GO:0030595"
"121","O14625","neutrophil chemotaxis","GO:0030593"
