"","UniProt_ID","Reactome_ID","Pathway_Description"
"1","O00182","R-HSA-451927","Interleukin-2 family signaling"
"2","O00300","R-HSA-5669034","TNFs bind their physiological receptors"
"3","O00308","R-HSA-8948751","Regulation of PTEN stability and activity"
"4","O00308","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus"
"5","O00533","R-HSA-447041","CHL1 interactions"
"6","O14625","R-HSA-380108","Chemokine receptors bind chemokines"
"7","O14625","R-HSA-418594","G alpha (i) signalling events"
"8","O14786","R-HSA-194306","Neurophilin interactions with VEGF and VEGFR"
"9","O14786","R-HSA-376176","Signaling by ROBO receptors"
"10","O14786","R-HSA-399954","Sema3A PAK dependent Axon repulsion"
"11","O14786","R-HSA-399955","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion"
"12","O14786","R-HSA-399956","CRMPs in Sema3A signaling"
"13","O14786","R-HSA-445144","Signal transduction by L1"
"14","O14786","R-HSA-447041","CHL1 interactions"
"15","O14788","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"16","O14788","R-HSA-5669034","TNFs bind their physiological receptors"
"17","O14788","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"18","O14798","R-HSA-6803211","TP53 Regulates Transcription of Death Receptors and Ligands"
"19","O14944","R-HSA-1227986","Signaling by ERBB2"
"20","O14944","R-HSA-1236394","Signaling by ERBB4"
"21","O14944","R-HSA-1250196","SHC1 events in ERBB2 signaling"
"22","O14944","R-HSA-1250342","PI3K events in ERBB4 signaling"
"23","O14944","R-HSA-1250347","SHC1 events in ERBB4 signaling"
"24","O14944","R-HSA-1251985","Nuclear signaling by ERBB4"
"25","O14944","R-HSA-1257604","PIP3 activates AKT signaling"
"26","O14944","R-HSA-177929","Signaling by EGFR"
"27","O14944","R-HSA-179812","GRB2 events in EGFR signaling"
"28","O14944","R-HSA-180292","GAB1 signalosome"
"29","O14944","R-HSA-180336","SHC1 events in EGFR signaling"
"30","O14944","R-HSA-182971","EGFR downregulation"
"31","O14944","R-HSA-1963640","GRB2 events in ERBB2 signaling"
"32","O14944","R-HSA-1963642","PI3K events in ERBB2 signaling"
"33","O14944","R-HSA-212718","EGFR interacts with phospholipase C-gamma"
"34","O14944","R-HSA-2219530","Constitutive Signaling by Aberrant PI3K in Cancer"
"35","O14944","R-HSA-5638303","Inhibition of Signaling by Overexpressed EGFR"
"36","O14944","R-HSA-5673001","RAF/MAP kinase cascade"
"37","O14944","R-HSA-6785631","ERBB2 Regulates Cell Motility"
"38","O14944","R-HSA-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"39","O14944","R-HSA-8847993","ERBB2 Activates PTK6 Signaling"
"40","O14944","R-HSA-8856825","Cargo recognition for clathrin-mediated endocytosis"
"41","O14944","R-HSA-8856828","Clathrin-mediated endocytosis"
"42","O14944","R-HSA-8863795","Downregulation of ERBB2 signaling"
"43","O14944","R-HSA-9009391","Extra-nuclear estrogen signaling"
"44","O14944","R-HSA-9634638","Estrogen-dependent nuclear events downstream of ESR-membrane signaling"
"45","O15123","R-HSA-210993","Tie2 Signaling"
"46","O15169","R-HSA-195253","Degradation of beta-catenin by the destruction complex"
"47","O15169","R-HSA-196299","Beta-catenin phosphorylation cascade"
"48","O15169","R-HSA-201681","TCF dependent signaling in response to WNT"
"49","O15169","R-HSA-4641257","Degradation of AXIN"
"50","O15169","R-HSA-4641262","Disassembly of the destruction complex and recruitment of AXIN to the membrane"
"51","O15169","R-HSA-5339716","Misspliced GSK3beta mutants stabilize beta-catenin"
"52","O15169","R-HSA-5358747","S33 mutants of beta-catenin aren't phosphorylated"
"53","O15169","R-HSA-5358749","S37 mutants of beta-catenin aren't phosphorylated"
"54","O15169","R-HSA-5358751","S45 mutants of beta-catenin aren't phosphorylated"
"55","O15169","R-HSA-5358752","T41 mutants of beta-catenin aren't phosphorylated"
"56","O15169","R-HSA-5467337","APC truncation mutants have impaired AXIN binding"
"57","O15169","R-HSA-5467340","AXIN missense mutants destabilize the destruction complex"
"58","O15169","R-HSA-5467348","Truncations of AMER1 destabilize the destruction complex"
"59","O15169","R-HSA-5689880","Ub-specific processing proteases"
"60","O15169","R-HSA-8931987","RUNX1 regulates estrogen receptor mediated transcription"
"61","O15169","R-HSA-8939256","RUNX1 regulates transcription of genes involved in WNT signaling"
"62","O15169","R-HSA-9018519","Estrogen-dependent gene expression"
"63","O15263","R-HSA-1461957","Beta defensins"
"64","O15263","R-HSA-1461973","Defensins"
"65","O15444","R-HSA-380108","Chemokine receptors bind chemokines"
"66","O15444","R-HSA-418594","G alpha (i) signalling events"
"67","O15467","R-HSA-380108","Chemokine receptors bind chemokines"
"68","O15467","R-HSA-418594","G alpha (i) signalling events"
"69","O15496","R-HSA-1482788","Acyl chain remodelling of PC"
"70","O15496","R-HSA-1482801","Acyl chain remodelling of PS"
"71","O15496","R-HSA-1482839","Acyl chain remodelling of PE"
"72","O15496","R-HSA-1482922","Acyl chain remodelling of PI"
"73","O15496","R-HSA-1482925","Acyl chain remodelling of PG"
"74","O15496","R-HSA-1483166","Synthesis of PA"
"75","O43508","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"76","O43508","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"77","O43557","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway"
"78","O43557","R-HSA-5669034","TNFs bind their physiological receptors"
"79","O43557","R-HSA-5676594","TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway"
"80","O43927","R-HSA-380108","Chemokine receptors bind chemokines"
"81","O43927","R-HSA-418594","G alpha (i) signalling events"
"82","O75015","R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins"
"83","O75015","R-HSA-6798695","Neutrophil degranulation"
"84","O75023","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"85","O75144","R-HSA-388841","Costimulation by the CD28 family"
"86","O75509","R-HSA-1989781","PPARA activates gene expression"
"87","O75594","R-HSA-6798695","Neutrophil degranulation"
"88","O75594","R-HSA-6803157","Antimicrobial peptides"
"89","O76036","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
"90","O95445","R-HSA-975634","Retinoid metabolism and transport"
"91","O95630","R-HSA-5689901","Metalloprotease DUBs"
"92","O95727","R-HSA-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell"
