"","UniProt_ID","Function"
"1","O00175","Chemotactic for resting T-lymphocytes, and eosinophils"
"2","O00175","Has lower chemotactic activity for neutrophils but none for monocytes and activated lymphocytes"
"3","O00175","Is a strong suppressor of colony formation by a multipotential hematopoietic progenitor cell line"
"4","O00175","Binds to CCR3."
"5","O00182","Binds galactosides "
"6","O00182","Has high affinity for the Forssman pentasaccharide "
"7","O00182","Ligand for HAVCR2/TIM3 "
"8","O00182","Binding to HAVCR2 induces T-helper type 1 lymphocyte (Th1) death "
"9","O00182","Also stimulates bactericidal activity in infected macrophages by causing macrophage activation and IL1B secretion which restricts intracellular bacterial growth (By similarity)"
"10","O00182","Ligand for P4HB; the interaction retains P4HB at the cell surface of Th2 T-helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration "
"11","O00182","Ligand for CD44; the interaction enhances binding of SMAD3 to the FOXP3 promoter, leading to up-regulation of FOXP3 expression and increased induced regulatory T (iTreg) cell stability and suppressive function (By similarity)"
"12","O00182","Promotes ability of mesenchymal stromal cells to suppress T-cell proliferation "
"13","O00182","Expands regulatory T-cells and induces cytotoxic T-cell apoptosis following virus infection "
"14","O00182","Activates ERK1/2 phosphorylation inducing cytokine (IL-6, IL-8, IL-12) and chemokine (CCL2) production in mast and dendritic cells "
"15","O00182","Inhibits degranulation and induces apoptosis of mast cells "
"16","O00182","Induces maturation and migration of dendritic cells "
"17","O00182","Inhibits natural killer (NK) cell function "
"18","O00182","Can transform NK cell phenotype from peripheral to decidual during pregnancy "
"19","O00182","Astrocyte derived galectin-9 enhances microglial TNF production (By similarity)"
"20","O00182","May play a role in thymocyte-epithelial interactions relevant to the biology of the thymus"
"21","O00182","May provide the molecular basis for urate flux across cell membranes, allowing urate that is formed during purine metabolism to efflux from cells and serving as an electrogenic transporter that plays an important role in renal and gastrointestinal urate excretion (By similarity)"
"22","O00182","Highly selective to the anion urate (By similarity)"
"23","O00182","It also inhibits angiogenesis "
"24","O00182","Suppresses IFNG production by natural killer cells (By similarity)"
"25","O00300","Acts as decoy receptor for TNFSF11/RANKL and thereby neutralizes its function in osteoclastogenesis"
"26","O00300","Inhibits the activation of osteoclasts and promotes osteoclast apoptosis in vitro"
"27","O00300","Bone homeostasis seems to depend on the local ratio between TNFSF11 and TNFRSF11B"
"28","O00300","May also play a role in preventing arterial calcification"
"29","O00300","May act as decoy receptor for TNFSF10/TRAIL and protect against apoptosis"
"30","O00300","TNFSF10/TRAIL binding blocks the inhibition of osteoclastogenesis"
"31","O00308","E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates"
"32","O00308","Polyubiquitinates POU5F1 by 'Lys-63'-linked conjugation and promotes it to proteasomal degradation; in embryonic stem cells (ESCs) the ubiquitination is proposed to regulate POU5F1 protein level"
"33","O00308","Ubiquitinates EGR2 and promotes it to proteasomal degradation; in T-cells the ubiquitination inhibits activation-induced cell death"
"34","O00308","Ubiquitinates SLC11A2; the ubiquitination is enhanced by presence of NDFIP1 and NDFIP2"
"35","O00308","Ubiquitinates RPB1 and promotes it to proteasomal degradation"
"36","O00533","Extracellular matrix and cell adhesion protein that plays a role in nervous system development and in synaptic plasticity"
"37","O00533","Both soluble and membranous forms promote neurite outgrowth of cerebellar and hippocampal neurons and suppress neuronal cell death"
"38","O00533","Plays a role in neuronal positioning of pyramidal neurons and in regulation of both the number of interneurons and the efficacy of GABAergic synapses"
"39","O00533","May play a role in regulating cell migration in nerve regeneration and cortical development"
"40","O00533","Potentiates integrin-dependent cell migration towards extracellular matrix proteins"
"41","O00533","Recruits ANK3 to the plasma membrane (By similarity)"
"42","O14625","Chemotactic for interleukin-activated T-cells but not unstimulated T-cells, neutrophils or monocytes"
"43","O14625","Induces calcium release in activated T-cells"
"44","O14625","Binds to CXCR3"
"45","O14625","May play an important role in CNS diseases which involve T-cell recruitment"
"46","O14625","May play a role in skin immune responses."
"47","O14786","Receptor involved in the development of the cardiovascular system, in angiogenesis, in the formation of certain neuronal circuits and in organogenesis outside the nervous system"
"48","O14786","It mediates the chemorepulsant activity of semaphorins "
"49","O14786","It binds to semaphorin 3A, The PLGF-2 isoform of PGF, The VEGF165 isoform of VEGFA and VEGFB "
