"","UniProt_ID","Biological_Process"
"1","O00175","Chemotaxis"
"2","O00175","Inflammatory response"
"3","O00182","Chemotaxis"
"4","O00182","Immunity"
"5","O00300","Apoptosis"
"6","O00308","Host-virus interaction"
"7","O00308","Ubl conjugation pathway"
"8","O00533","Cell adhesion"
"9","O00533","Differentiation"
"10","O00533","Neurogenesis"
"11","O14625","Chemotaxis"
"12","O14625","Inflammatory response"
"13","O14786","Angiogenesis"
"14","O14786","Differentiation"
"15","O14786","Neurogenesis"
"16","O14788","Differentiation"
"17","O14798","Apoptosis"
"18","O14944","Angiogenesis"
"19","O14944","Differentiation"
"20","O15123","Angiogenesis"
"21","O15123","Differentiation"
"22","O15169","Apoptosis"
"23","O15169","Wnt signaling pathway"
"24","O15444","Chemotaxis"
"25","O15444","Inflammatory response"
"26","O15467","Chemotaxis"
"27","O15467","Inflammatory response"
"28","O15496","Lipid degradation"
"29","O15496","Lipid metabolism"
"30","O43508","Angiogenesis"
"31","O43508","Apoptosis"
"32","O43508","Differentiation"
"33","O43927","Chemotaxis"
"34","O43927","Inflammatory response"
"35","O75023","Adaptive immunity"
"36","O75023","Immunity"
"37","O75144","Adaptive immunity"
"38","O75144","B-cell activation"
"39","O75144","Immunity"
"40","O75509","Adaptive immunity"
"41","O75509","Apoptosis"
"42","O75509","Immunity"
"43","O75594","Immunity"
"44","O75594","Innate immunity"
"45","O94985","Cell adhesion"
"46","O95445","Lipid transport"
"47","O95445","Transport"
"48","O95630","Ubl conjugation pathway"
"49","O95727","Adaptive immunity"
"50","O95727","Immunity"
"51","O95760","Transcription"
"52","P00749","Blood coagulation"
"53","P00749","Fibrinolysis"
"54","P00749","Hemostasis"
"55","P00749","Plasminogen activation"
"56","P00750","Plasminogen activation"
"57","P00813","Cell adhesion"
"58","P00813","Nucleotide metabolism"
"59","P01130","Cholesterol metabolism"
"60","P01130","Endocytosis"
"61","P01130","Host-virus interaction"
"62","P01130","Lipid metabolism"
"63","P01130","Lipid transport"
"64","P01130","Steroid metabolism"
"65","P01130","Sterol metabolism"
"66","P01130","Transport"
"67","P01574","Antiviral defense"
"68","P01579","Antiviral defense"
"69","P01579","Growth regulation"
"70","P01583","Inflammatory response"
"71","P01589","Immunity"
"72","P01730","Adaptive immunity"
"73","P01730","Host-virus interaction"
"74","P01730","Immunity"
"75","P01732","Adaptive immunity"
"76","P01732","Immunity"
"77","P02144","Oxygen transport"
"78","P02144","Transport"
"79","P02778","Chemotaxis"
"80","P02778","Inflammatory response"
"81","P02786","Endocytosis"
"82","P02786","Host-virus interaction"
"83","P03950","Angiogenesis"
"84","P03950","Differentiation"
"85","P03950","Stress response"
"86","P03951","Blood coagulation"
"87","P03951","Hemostasis"
"88","P03956","Collagen degradation"
"89","P03956","Host-virus interaction"
"90","P04070","Blood coagulation"
"91","P04070","Hemostasis"
"92","P04275","Blood coagulation"
"93","P04275","Cell adhesion"
"94","P04275","Hemostasis"
"95","P05089","Adaptive immunity"
"96","P05089","Arginine metabolism"
"97","P05089","Immunity"
"98","P05089","Innate immunity"
"99","P05089","Urea cycle"
"100","P05107","Cell adhesion"
"101","P05107","Phagocytosis"
"102","P05112","B-cell activation"
"103","P05154","Fertilization"
"104","P05154","Lipid transport"
"105","P05154","Transport"
"106","P05164","Hydrogen peroxide"
"107","P05231","Acute phase"
"108","P05362","Cell adhesion"
"109","P05362","Host-virus interaction"
"110","P06681","Complement pathway"
"111","P06681","Immunity"
"112","P06681","Innate immunity"
"113","P06748","Host-virus interaction"
"114","P07306","Endocytosis"
"115","P07306","Host-virus interaction"
"116","P07359","Blood coagulation"
"117","P07359","Cell adhesion"
"118","P07359","Hemostasis"
"119","P07478","Digestion"
"120","P08253","Angiogenesis"
"121","P08253","Collagen degradation"
"122","P08254","Collagen degradation"
"123","P08709","Blood coagulation"
"124","P08709","Hemostasis"
"125","P08962","Protein transport"
"126","P08962","Transport"
"127","P09038","Angiogenesis"
"128","P09038","Differentiation"
"129","P09237","Collagen degradation"
"130","P09238","Collagen degradation"
"131","P09341","Inflammatory response"
"132","P09382","Apoptosis"
"133","P09601","Apoptosis"
"134","P09603","Immunity"
"135","P09603","Inflammatory response"
"136","P09603","Innate immunity"
"137","P0DOY2","Adaptive immunity"
"138","P0DOY2","Immunity"
"139","P10144","Apoptosis"
"140","P10144","Cytolysis"
"141","P10145","Chemotaxis"
"142","P10145","Inflammatory response"
"143","P10147","Chemotaxis"
"144","P10147","Inflammatory response"
"145","P10451","Biomineralization"
